Time,FC,PAS,PAM,PAD
-1,89,93,105,80
0,97.9,102.3,115.5,80
30,96.4527,102.682,112.671,80
60,98.684,101.16,112.979,80
90,97.2509,104.322,114.668,80
120,96.9829,100.478,114.32,80
150,106.963,100.405,128.939,80
180,108.554,102.733,125.896,80
210,108.2,103.428,115.026,80
240,106.432,104.643,115.389,80
270,98.0646,102.248,116.602,80
300,99.2023,103.596,114.754,80
330,98.6328,103.456,113.783,80
360,99.7052,102.287,115.154,80
390,98.5165,101.219,113.879,80
420,99.7216,102.499,117.508,80
450,96.0275,103.333,112.478,81.8202
480,99.6041,106.032,114.714,79.3401
510,96.8771,101.558,114.629,79.0518
540,96.799,105.899,113.515,80.5414
570,98.5671,98.4485,115.729,80.7407
600,99.4869,101.951,115.617,79.0503
630,96.5027,103.164,118.163,79.366
660,100.063,102.084,116.435,78.7797
690,96.2625,107,118.507,78.7625
720,101.155,104.371,117.158,81.2148
750,98.5073,99.5175,117.282,81.8207
780,96.7608,103.239,119.452,77.8312
810,98.0876,85.3077,94.2488,63.7202
840,94.5739,76.539,88.8188,66.7523
870,95.2759,88.3163,89.7251,62.7005
900,92.1484,77.0325,90.7459,63.3937
930,94.0672,80.1341,91.2663,62.9051
960,91.9728,77.7424,88.6609,62.8187
990,89.0198,86.5529,91.9547,66.5753
1020,89.0349,84.0874,93.796,65.5401
1050,92.0021,77.1979,92.5159,63.6602
1080,88.8206,86.8731,89.7814,62.488
1110,89.9081,79.1862,89.7971,65.522
1140,87.2531,103.663,118.017,77.4599
1170,88.617,107.062,111.562,80.2829
1200,85.0322,110.843,115.901,78.8515
1230,88.4941,105.569,116.177,79.0727
1260,89.6593,110.601,119.19,78.8437
1290,87.7119,95.95,114.765,76.5179
1320,85.8073,101.246,118.395,81.6057
1350,86.0365,103.715,115.622,78.9969
1380,85.4872,105.156,118.028,82.6123
1410,86.4627,103.026,117.262,80.5096
1440,90.0329,105.901,119.524,80.4716
1470,89.2418,102.561,115.331,83.2743
1500,82.3811,85.2696,98.0392,54.0431
1530,74.8476,74.901,52.3104,52.5433
1560,74.002,72.2242,53.3467,56.8296
1590,75.778,66.2547,49.8851,53.8631
1620,76.0978,68.4347,48.8464,53.2221
1650,73.592,71.6133,49.5356,54.8895
1680,75.2374,71.9668,48.2661,54.685
1710,75.1499,76.0943,51.8719,57.7104
1740,80.0266,74.5179,74.2552,53.484
1770,80.1796,73.9909,75.3413,57.6137
1800,79.5378,68.89,78.7514,56.1646
1830,78.4799,70.5504,77.1493,56.0806
1860,77.6795,68.1502,74.9659,52.4926
1890,79.9824,70.455,78.1842,53.6023
1920,80.97,64.2329,78.2299,56.9357
1950,78.2726,70.635,77.0751,52.4277
1980,79.424,71.9548,80.1107,54.5203
2010,80.1352,70.8166,75.375,52.8821
2040,81.3973,76.0798,76.2789,54.7276
2070,80.7573,72.6716,74.9009,55.572
2100,78.4895,68.4962,77.0481,55.1872
2130,82.4505,71.5463,75.8706,59.813
2160,80.4617,74.0501,78.507,51.688
2190,73.2006,61.875,64.1463,39.52
2220,73.2279,55.9912,54.2114,37.798
2250,73.0522,57.3371,51.3953,38.5052
2280,77.0401,50.92,55.0688,37.0059
2310,78.0312,48.1851,56.8561,39.1753
2340,78.5049,51.5965,56.0963,40.6997
2370,76.4804,56.9572,56.9587,41.3292
2400,75.7305,47.7038,56.8528,41.2603
2430,75.49,50.1716,61.0146,41.2182
2460,75.5943,55.8154,62.1214,39.6088
2490,75.5531,55.4441,57.7833,34.8327
2520,75.0129,48.3927,63.1753,37.3542
2550,72.8413,53.3532,56.4512,42.1514
2580,71.9277,45.3578,59.5141,38.431
2610,72.4455,51.1177,60.508,37.626
2640,71.6851,51.5687,52.9274,41.0639
2670,72.7822,61.5751,56.7078,38.6215
2700,72.6618,56.5788,63.1457,42.803
2730,73.275,50.0945,59.0127,39.0643
2760,88.7017,67.9008,75.2006,41.0757
2790,87.4601,65.9712,71.4749,41.972
2820,76.443,67.6064,73.2189,38.9269
2850,76.9741,57.4925,68.1849,42.1467
2880,75.9234,65.8528,66.4107,36.9459
2910,77.1302,62.8619,71.9758,39.9169
2940,77.8091,67.565,70.9663,37.7312
2970,76.3297,66.4611,72.5627,38.0293
3000,76.6493,57.2775,74.2066,39.5791
3030,77.4464,68.8569,67.5497,44.4267
3060,75.9439,64.1689,71.3189,41.6062
3090,73.8283,60.9913,64.814,38.2135
3120,75.2333,53.2798,69.7042,37.6603
3150,74.9903,58.7988,68.3152,40.5034
3180,75.8357,59.2128,68.5669,36.8286
3210,77.5435,65.6565,68.7688,36.6493
3240,78.1318,58.68,68.7963,38.6989
3270,79.7477,64.9295,69.7557,40.4309
3300,80.1259,63.4305,73.0322,33.1315
3330,82.3809,60.0047,71.186,37.0214
3360,82.3384,67.7712,65.5366,38.068
3390,79.0405,57.8023,68.6602,38.7528
3420,82.6977,59.757,69.1039,42.7673
3450,82.9518,54.3681,70.2925,33.31
3480,84.3547,63.9259,65.4333,37.7733
3510,84.4593,60.2954,73.1926,39.1893
3540,85.2266,60.8094,70.825,38.6108
3570,83.6865,64.4014,66.6417,35.0938
3600,83.1228,57.2074,66.5424,41.394
3630,102.497,63.4829,75.2917,39.7822
3660,100.803,65.6179,73.6667,37.9279
3690,100.072,71.7376,75.5803,34.1801
3720,99.1383,60.2237,75.3557,38.9452
3750,100.39,65.0157,72.4245,36.6412
3780,101.563,62.1172,73.9048,38.9403
3810,98.7885,61.9197,75.1757,36.1168
3840,101.107,64.4737,71.5827,36.2821
3870,100.73,57.7417,72.3838,39.7288
3900,98.934,64.2143,72.7777,38.1802
3930,99.0633,68.4885,78.7715,38.3932
3960,109.264,63.3752,80.1908,36.4835
3990,105.152,68.0753,78.0645,41.1645
4020,108.091,70.104,76.5975,36.2999
4050,106.23,66.6063,81.1582,41.7073
4080,107.093,64.498,77.4935,41.4217
4110,105.713,66.0219,78.9248,37.5948
4140,106.377,61.6268,76.0206,38.4856
4170,105.75,64.0625,79.2419,32.8283
4200,107.528,59.6071,82.0992,33.8509
4230,108.243,68.5895,76.6028,37.236
4260,110.489,66.6603,78.0683,34.4381
4290,109.764,66.5425,79.8857,38.071
4320,111.283,71.3704,79.2345,37.1516
4350,109.498,60.9699,81.414,40.163
4380,109.213,73.2427,80.7684,35.2881
4410,109.104,65.9255,81.3171,33.3212
4440,108.38,61.4353,79.133,40.9423
4470,110.989,71.5011,74.833,39.1119
4500,109.102,59.0308,77.6273,41.5534
4530,108.541,67.8798,79.0539,36.7836
4560,107.336,67.8139,80.8579,36.1066
4590,106.167,65.3107,78.8058,37.5973
4620,105.726,59.9805,82.9599,38.7683
4650,103.73,65.9735,76.6042,38.3654
4680,104.74,68.5589,78.6845,37.126
4710,106.531,69.2682,78.9126,40.8079
4740,105.098,70.3087,77.7797,37.7471
4770,103.024,69.2653,76.3785,38.7373
4800,104.525,63.8047,78.8764,35.3161
4830,104.345,64.5469,79.3964,38.8131
4860,104.724,67.3373,79.8953,40.1003
4890,102.949,71.6898,79.9519,38.4941
4920,106.007,69.8447,78.2744,36.5865
4950,104.631,71.4916,81.093,35.3461
4980,104.78,69.8984,80.9228,35.9346
5010,105.885,66.6661,78.0134,40.3394
5040,103.295,67.1956,78.2085,39.6656
5070,103.381,58.6176,79.6601,35.9009
5100,104.119,64.9584,85.2211,37.5771
5130,104.423,66.4871,78.5273,35.6525
5160,107.417,64.5069,79.164,33.9602
5190,104.068,63.3097,74.4603,35.281
5220,106.011,69.3315,75.0969,35.452
5250,107.941,65.8157,73.7948,37.4697
5280,107.636,62.7511,77.5825,34.1902
5310,105.222,66.4598,78.0821,33.9996
5340,106.613,68.4367,76.6007,32.6538
5370,106.745,64.5137,75.4915,34.0384
5400,104.63,73.1496,79.6125,35.901
5430,105.912,64.0136,75.6397,32.7034
5460,104.106,63.4631,79.1999,32.387
5490,106.099,65.1595,80.8819,33.1694
5520,106.033,68.2207,80.4114,38.1811
5550,106.189,63.1824,73.6732,36.9878
