ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity
-2.123461656072842985e+00,-2.034656218976440556e+00,-3.789930913402078105e-01,-3.100601733053012232e-01,1.165590779493600425e-02,2.038477730450451109e+00,2.647035559704078445e-01,-6.288932471468040575e-01,6.803447378771448895e-01
6.431954026270992886e-01,8.484394936026230516e-01,-2.317703023607866064e-01,1.354895506431101238e+00,1.165590779493600425e-02,-1.107702067584324518e-01,7.742184291503499960e-01,-4.422144011244293071e-03,-1.170859220685774194e+00
7.805747937211584553e-01,5.485282678260681166e-01,1.088579487085316461e-02,5.878444801830355892e-01,6.555116177019912893e-01,-7.932312589865382346e-01,1.247303096131692657e+00,2.094776505858014115e+00,8.445047233540213805e-01
1.270057698695302051e+00,-4.632073138289658498e-01,-4.539081151106552636e-01,-3.659525472236754839e-01,-6.469567138049020505e-01,-3.598242220419938797e-01,-8.280958932773289094e-01,-2.134594778807894055e+00,1.350241385778808423e-01
-9.443419828280019690e-01,-2.439095672529962011e-01,7.852989655110914624e-01,2.634686417836529237e-01,-1.860783779159939644e-01,-1.814321416714763657e+00,-1.781135606628039936e+00,-7.162246536015717258e-01,-1.806700799115314560e+00
1.984368606520105160e+00,1.573231586359062240e+00,7.854173440762387548e-01,2.436325078809837286e-01,1.680127839817430413e+00,-1.775059126397027454e+00,-1.548023111265734164e-01,1.120840897518490475e+00,-1.661548132274554224e+00
9.819856745712027823e-01,2.136779198934753710e-01,-9.494774957809948290e-01,-1.616632092808829579e+00,-8.371284637789115912e-01,5.798515036317762883e-01,-5.850380794243565941e-01,-2.285521143857605353e-01,5.531937780624203160e-01
2.588079738727961931e+00,9.395182042866594418e-01,4.097087902284841654e-01,1.229622977657026883e+00,1.969266080310136724e+00,1.680844997951973507e+00,1.093805657486966121e+00,3.394360886196958194e-01,5.136475695216008441e-01
1.770508352571694699e-01,-9.369875269292083919e-01,1.211488326307834873e+00,2.671458663396683586e-01,-1.875830839498726643e-01,-2.719223848113952111e-02,3.874480560444703570e-01,7.579823381894841283e-01,-3.938986821017957940e-01
5.645440158511865203e-01,6.798885149881697121e-01,-3.631603926927096659e-01,6.200334937256039014e-01,1.165590779493600425e-02,-7.829743792667884783e-01,6.728896410411933093e-02,6.184896367196769384e-01,5.384085656405365738e-02
2.504357760188392207e-02,-1.205059580743708114e+00,-3.673997063056215762e-01,-2.220015490005212033e+00,-1.421234446586304934e+00,-9.850155670775301298e-01,4.908599133344286325e-01,8.050612740199147854e-01,-6.713578328791438565e-01
2.626390330317233124e-01,2.739912034503740323e-01,7.437972814964008972e-01,-1.295354909452355319e+00,1.165590779493600425e-02,2.103500627678488444e-01,-3.241909023303193305e-01,2.356946932365299729e-01,1.034929353934891605e+00
-4.626056712073391974e-01,-2.919678764059174814e-01,2.202492601226195834e+00,1.577915847697771490e+00,8.672912095884408590e-01,1.099477246827699428e+00,-8.336774410446837758e-01,5.309676619612200277e-01,5.210619493145443037e-01
-1.790361263410128814e-02,4.474520296394539076e-01,1.042112255809380050e+00,1.871230199673240335e+00,1.165590779493600425e-02,-1.386722186048368277e+00,1.838851402166066684e+00,-6.089339980012870024e-01,3.827787299255610565e-01
1.326448552315467211e+00,2.355999670831367965e+00,2.436501830337051422e-01,-1.399832484695434365e-01,1.810711264005923304e+00,6.213740342815138318e-01,-2.762062730043653991e-01,3.073035827395315667e-01,6.841945993624292122e-01
1.196357228425154462e+00,2.524562849349153204e+00,-2.834506517011735616e-01,-5.817638844000929677e-01,1.165590779493600425e-02,4.754802120171280205e-02,-4.266452297855670150e-01,-1.652493661075912779e-01,-1.965105414149211249e+00
1.836219404373077568e-01,5.522750464617640631e-01,4.264864791857930770e-01,-1.698812739866142119e+00,6.678152550615237826e-02,5.219752650090236923e-01,-5.411819044191152894e-01,-2.286159667945974472e-01,-1.805943620119243587e+00
-2.650720912994813383e-01,-8.529714145196298780e-01,1.037942651877538980e+00,-7.996386457304793804e-01,-6.248046103971363063e-01,1.184915026324858012e+00,1.080658748386631895e+00,6.529222454238756690e-01,-2.818960433308527191e-01
-2.005805361001226750e+00,1.729386982530130637e-02,-8.702432870775791973e-02,-8.240365391876691703e-02,1.165590779493600425e-02,2.082971210488077374e-01,6.958871970361161230e-01,1.466036514167221583e+00,7.160515457072785805e-01
-1.060350323309377618e+00,-1.690553584173849710e+00,-5.358790365073512474e-01,1.847306322731385508e+00,-1.392769022832128778e-01,5.584727247396623628e-01,-9.191888062642811219e-01,-5.915877858023258495e-01,1.095670823789834714e+00
-3.571017635930908152e-01,7.397779112521289668e-02,-8.113272266160115320e-02,9.734689259309396991e-01,-2.719434328791006661e-01,-1.763253398214082446e-01,1.802140046984827548e-01,8.265389658375910109e-01,1.577587154144679760e+00
-2.294533273655803285e+00,3.524830244191898276e-01,1.323348480018587514e+00,1.043588599535022921e+00,1.411100359743662214e+00,1.750863812033756350e-01,-1.499121435536577840e-01,-2.240626319365402797e+00,2.751039606373889002e-01
6.394188982080392658e-02,4.041567755003460660e-01,-7.741037497188894001e-01,-7.139459667165660717e-01,1.387159597475764450e-01,-1.054122106824243454e+00,-1.925103755790383619e+00,3.122908680924681990e-01,1.434043129858716403e+00
