ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity
-2.309406923138595413e+00,-2.201241721160732467e+00,-3.835337433917642147e-01,-3.327851701247176441e-01,2.798181666983758434e-02,2.046826997880387911e+00,2.497136657658294012e-01,-6.286996211345414753e-01,7.424280429073555343e-01
6.314153004071754172e-01,8.915029632589847042e-01,-2.319009197129408284e-01,1.402575410127195443e+00,2.798181666983758434e-02,-1.099099113532978483e-01,7.587286237454925475e-01,-4.354701422063188970e-03,-1.176108772351985410e+00
7.774429279066384924e-01,5.697832072095033729e-01,1.802390144541809666e-02,6.030885948364657079e-01,7.156349183873467190e-01,-7.947489729490853083e-01,1.231349119358162936e+00,2.094419774982581472e+00,9.125589321986241620e-01
1.297739507660588654e+00,-5.155223650438800487e-01,-4.606928345149935433e-01,-3.910410285929760699e-01,-6.754320151944590567e-01,-3.598317458031977667e-01,-8.420135732594151712e-01,-2.134096904012221074e+00,1.772727875744428416e-01
-1.056059917807953052e+00,-2.802780278306203909e-01,8.156344926607747015e-01,2.649960858313167300e-01,-1.832030696219150434e-01,-1.819397080178454917e+00,-1.794118202936906048e+00,-7.160133810148662237e-01,-1.835077478229577785e+00
2.057017346468496655e+00,1.668999486319853398e+00,8.157564172365877608e-01,2.443211542050643670e-01,1.809949238143039540e+00,-1.779997981915609762e+00,-1.693805992943769878e-01,1.120680964426500337e+00,-1.684645250662791804e+00
9.915329224020419385e-01,2.105836741776219434e-01,-9.711069153833638001e-01,-1.694607248613600570e+00,-8.785399347430052908e-01,5.831182439050399680e-01,-5.991942378142139924e-01,-2.284393830926906843e-01,6.106522888788894488e-01
2.698732989762976153e+00,9.892046098268941767e-01,4.287935747639761708e-01,1.272005563212459389e+00,2.118755706487716495e+00,1.687948107838861400e+00,1.078002286136009014e+00,3.394340496770170135e-01,5.696676871344205084e-01
1.359262412207857262e-01,-1.023754273286098471e+00,1.254590286444277947e+00,2.688288067961497330e-01,-1.848101311971227789e-01,-2.604071885032005484e-02,3.723377339456182544e-01,7.578957259203160657e-01,-3.708882614611945794e-01
5.478126921923407444e-01,7.106955273874649981e-01,-3.672267788313278158e-01,6.366387643087315640e-01,2.798181666983758434e-02,-7.844563535252497832e-01,5.249276904059706206e-02,6.184312109694334314e-01,9.313666923553254318e-02
